 "time" "normal population" "cancer population" "average motility" "average consumption rate" "average cancer motility" "average cancer consumption rate"patch_inflammation:0
 1 10398 0 0 1 0 0
 2 10398 0 0 1 0 0
 3 10575 0 8.51686952497359E-6 1.000077949459315 0 0
 4 10580 0 -9.20128186194142E-6 1.000085441301003 0 0
 5 10741 0 -2.336975425674376E-5 1.0000981042177621 0 0
 6 10750 0 -2.3626041739368415E-5 1.000070667124109 0 0
 7 10912 0 1.2310551780832425E-4 1.0001255386802923 0 0
 8 10922 0 5.972298323684729E-5 1.0001719586366922 0 0
 9 11042 0 1.2167051786114732E-4 1.0001509484839106 0 0
 10 11053 0 8.514054994539115E-5 1.000164843061208 0 0
 11 11153 0 6.37861342828992E-5 1.0003571145174004 0 0
 12 11170 0 1.0045868341617138E-4 1.0003209528452024 0 0
 13 11248 0 -4.6209665822406864E-5 1.0002247558551387 0 0
 14 11264 0 1.0678492957622722E-5 1.00026452513444 0 0
 15 11329 0 1.1264943682858059E-4 1.0002305381206276 0 0
 16 11337 0 1.232188345181183E-4 1.0002305385629544 0 0
 17 11405 0 1.7932972746411278E-4 1.0001792216337764 0 0
 18 11418 0 1.4082390022516713E-4 1.0001699975346936 0 0
 19 11462 0 1.674464153691664E-4 1.0001902310148687 0 0
 20 11477 0 1.8662140919082932E-4 1.000208007136697 0 0
 21 11504 0 1.7704170081611514E-4 1.000231321880186 0 0
 22 11516 0 1.8351699857966855E-4 1.0001986935656595 0 0
 23 11525 0 2.19913439891604E-4 1.0002584263564178 0 0
 24 11536 0 2.646876063168412E-4 1.0002761682795016 0 0
 25 11537 0 2.918067667213139E-4 1.0002470220748687 0 0
 26 11546 0 2.8008752909477216E-4 1.0002478600157292 0 0
 27 11545 0 2.5840355674421034E-4 1.0002093936380523 0 0
 28 11556 0 2.794962955002849E-4 1.000261938196472 0 0
 29 11560 0 2.8681277453612486E-4 1.0002784669095215 0 0
 30 11569 0 3.227876770804124E-4 1.0003396844436798 0 0
 31 11573 0 2.972738486956315E-4 1.0003403201316943 0 0
 32 11582 0 2.7602006764777684E-4 1.0003010494508524 0 0
 33 11584 0 2.9746581578486567E-4 1.000268223487236 0 0
 34 11594 0 2.953964965584116E-4 1.00020734493592 0 0
 35 11593 0 3.033488672724756E-4 1.000173746365673 0 0
 36 11601 0 3.115553349370394E-4 1.0001773455859782 0 0
 37 11600 0 3.1454608094971695E-4 1.0001598064431747 0 0
 38 11605 0 2.9048598442236485E-4 1.0001524021785786 0 0
 39 11603 0 2.942181776090729E-4 1.0001452522831373 0 0
 40 11607 0 2.915385315233657E-4 1.0001072123754493 0 0
 41 11606 0 3.093891195897341E-4 1.000095196875829 0 0
 42 11615 0 2.927405446285731E-4 1.0000948795613234 0 0
 43 11615 0 2.9413859911421223E-4 1.0000946410901776 0 0
 44 11619 0 2.813057729802568E-4 1.0001001537261784 0 0
 45 11618 0 2.9757057834097096E-4 1.0000529681199846 0 0
 46 11624 0 3.0142636057665283E-4 1.0000526692477196 0 0
 47 11622 0 2.919212101736297E-4 1.0000440762736926 0 0
 48 11629 0 3.015197987423114E-4 1.000048251196051 0 0
 49 11628 0 2.9184059020783185E-4 1.0000297875233164 0 0
 50 11635 0 2.926097437062175E-4 1.0000060205660848 0 0
 51 11632 0 2.712145728403782E-4 1.0000176405869354 0 0
 52 11637 0 2.855435328631544E-4 1.00001847067522 0 0
 53 11630 0 2.6045563000598655E-4 1.000019904386693 0 0
 54 11637 0 2.1679489518041815E-4 1.0000098493535972 0 0
 55 11630 0 2.2988472275476651E-4 1.0000133304215393 0 0
 56 11636 0 1.8485792970971993E-4 1.0000240935194744 0 0
 57 11631 0 1.9284216008207534E-4 1.0000028305812938 0 0
 58 11631 0 1.945255357722501E-4 1.0000221069726725 0 0
 59 11625 0 1.9567383381008204E-4 0.9999804129492822 0 0
 60 11625 0 2.191991287852136E-4 0.9999866399841616 0 0
 61 11622 0 2.0099480092313334E-4 0.9999715825607978 0 0
 62 11624 0 2.0475809570456456E-4 0.9999925587305659 0 0
 63 11620 0 2.0958340546943302E-4 0.9999804723958444 0 0
 64 11618 0 2.1174552043505654E-4 0.9999726287870369 0 0
 65 11605 0 2.182319686433909E-4 0.999971483242657 0 0
 66 11606 0 2.0573104016652555E-4 0.9999975009142225 0 0
 67 11601 0 1.9047347872597288E-4 0.9999961188792452 0 0
 68 11608 0 2.0055941376883197E-4 1.0000046672205578 0 0
 69 11599 0 2.0816519975199244E-4 1.0000028630941118 0 0
 70 11600 0 2.164999184015893E-4 1.0000028757756116 0 0
 71 11592 0 2.0116392697752517E-4 1.0000145537970895 0 0
 72 11587 0 1.9311428675342884E-4 1.0000079711872207 0 0
 73 11589 0 1.8572993971485675E-4 1.0000370402397054 0 0
 74 11586 0 2.0111632151350556E-4 1.0000379650380486 0 0
 75 11582 0 2.2199529177414622E-4 1.000038567899905 0 0
 76 11584 0 2.1137922975266203E-4 1.0000184533797243 0 0
 77 11576 0 2.0184257101099924E-4 1.0000133325862537 0 0
 78 11578 0 1.7942726325833257E-4 1.0000066300310462 0 0
 79 11573 0 1.815710870757735E-4 1.000024453460013 0 0
 80 11579 0 1.5484960179147153E-4 0.9999792962389522 0 0
 81 11579 0 1.7241901290204197E-4 0.9999502298508172 0 0
 82 11577 0 1.5048740688418285E-4 0.9999514573007835 0 0
 83 11572 0 1.4535068066492485E-4 0.9999584144448812 0 0
 84 11566 0 1.31423934635969E-4 0.9999626165633942 0 0
 85 11559 0 1.4579179315377013E-4 0.9999520128843884 0 0
 86 11555 0 1.536528756814022E-4 0.9999816615146722 0 0
 87 11551 0 1.4368054114923228E-4 0.999977154401233 0 0
 88 11551 0 1.7165401981858103E-4 0.9999968300003425 0 0
 89 11541 0 1.6992168271892405E-4 1.0000016448847573 0 0
 90 11544 0 1.6618458557258336E-4 1.0000115375373908 0 0
 91 11542 0 1.5398890791307643E-4 1.0000175500745017 0 0
 92 11541 0 1.2783202691348588E-4 1.0000220026869568 0 0
 93 11530 0 1.2795398288018543E-4 1.0000220236782462 0 0
 94 11527 0 1.25484947308327E-4 1.000026885342656 0 0
 95 11523 0 1.1355859326968937E-4 1.0000357927868149 0 0
 96 11520 0 1.0875710866811838E-4 1.0000286529977411 0 0
 97 11511 0 7.12991472782422E-5 1.0000393982609983 0 0
 98 11507 0 7.894468392242758E-5 1.000047568596886 0 0
 99 11502 0 7.897900172973207E-5 1.0000475892752883 0 0
 100 11500 0 7.972639837252598E-5 1.000071097057724 0 0
 101 11494 0 5.2965583163761433E-5 1.0000687647640378 0 0
 102 11490 0 5.627328382948927E-5 1.000027252529702 0 0
 103 11485 0 3.4794575679702096E-5 1.000073822039516 0 0
 104 11480 0 4.179618415873829E-5 1.000115725961824 0 0
 105 11477 0 5.605519650569767E-5 1.000116266718374 0 0
 106 11472 0 1.1358763507431372E-4 1.0001357703055145 0 0
 107 11460 0 9.824636618348029E-5 1.0001561655847913 0 0
 108 11456 0 1.1594091758859203E-4 1.0001651490267645 0 0
 109 11439 0 1.1061832369015106E-4 1.0001785258715403 0 0
 110 11429 0 1.6208093234756313E-4 1.0001970431298206 0 0
 111 11417 0 1.732202613667415E-4 1.0002280134221282 0 0
 112 11411 0 1.6911726557008785E-4 1.0002058963255251 0 0
 113 11408 0 1.719029032867591E-4 1.0002264938937084 0 0
 114 11405 0 1.3588128360713495E-4 1.0001878411120677 0 0
 115 11397 0 7.387886801279155E-5 1.0002376720900323 0 0
 116 11388 0 9.333494656111842E-5 1.0002441570326062 0 0
 117 11383 0 7.433235696694107E-5 1.000268453165061 0 0
 118 11375 0 5.917527161348805E-5 1.0003107017269564 0 0
 119 11370 0 5.5725830919778776E-5 1.0003178777801456 0 0
 120 11356 0 6.757346424640721E-5 1.0003402334710196 0 0
 121 11344 0 6.067957634643082E-5 1.0003593041643328 0 0
 122 11333 0 6.01309004288967E-5 1.0004133383275278 0 0
 123 11324 0 5.085641902016084E-5 1.0004076652128158 0 0
 124 11319 0 6.526279309438407E-5 1.0004317533389484 0 0
 125 11309 0 5.139143680588656E-5 1.000446372341828 0 0
 126 11303 0 4.407484260798399E-5 1.0004993480611437 0 0
 127 11296 0 9.077303201584586E-5 1.0005097215040706 0 0
 128 11288 0 4.0633719592039075E-5 1.0005680668272792 0 0
 129 11286 0 5.26748261667912E-5 1.0005815942675034 0 0
