 "time" "normal population" "cancer population" "average motility" "average consumption rate" "average cancer motility" "average cancer consumption rate"patch_inflammation:0.5
 1 10395 0 0 1 0 0
 2 10395 0 0 1 0 0
 3 10562 0 3.9505815042047174E-5 1.0000380359518768 0 0
 4 10561 0 3.950955576878158E-5 1.0000380395534245 0 0
 5 10758 0 -7.940200799213374E-5 0.9998653063026103 0 0
 6 10768 0 -7.736066915678465E-5 0.9998469604373609 0 0
 7 10993 0 -1.1840282808399868E-4 0.9996642781417713 0 0
 8 11001 0 -8.785036250584112E-5 0.9996622128368328 0 0
 9 11212 0 -4.5870194446027046E-4 0.9997014481438172 0 0
 10 11222 0 -4.552103507404914E-4 0.9996830325360091 0 0
 11 11423 0 -5.816912355566464E-4 0.9997643888657403 0 0
 12 11440 0 -4.552347317549502E-4 0.9997181845239484 0 0
 13 11621 0 -5.13898888350145E-4 0.9998845737762843 0 0
 14 11633 0 -5.160720192426683E-4 0.9998967286956941 0 0
 15 11818 0 -5.441168279958347E-4 0.9998292960030853 0 0
 16 11827 0 -5.334208378981391E-4 0.9998196627768831 0 0
 17 12027 0 -6.346952835854084E-4 0.9998818464901246 0 0
 18 12041 0 -6.349480781237422E-4 0.9998281905581965 0 0
 19 12225 0 -6.920528187350724E-4 0.9999060025190943 0 0
 20 12241 0 -6.028848727594714E-4 0.9998811916490543 0 0
 21 12471 0 -6.240603911907148E-4 0.9998544579091297 0 0
 22 12478 0 -6.138846675874817E-4 0.9998634758819315 0 0
 23 12702 0 -4.908678253518975E-4 1.000004757871229 0 0
 24 12712 0 -4.822795051010229E-4 0.9999916466842709 0 0
 25 12914 0 -5.236080570291638E-4 0.9999169411574839 0 0
 26 12930 0 -4.865099584539258E-4 0.9999029625780006 0 0
 27 13125 0 -6.169766917810234E-4 0.9998743981631796 0 0
 28 13140 0 -6.148425165550355E-4 0.9998546883038558 0 0
 29 13311 0 -6.57380563172176E-4 0.9998163973011105 0 0
 30 13322 0 -6.160515709040791E-4 0.9997861466989462 0 0
 31 13504 0 -5.30111449810252E-4 0.9997398916437717 0 0
 32 13521 0 -5.288507222380245E-4 0.9997208944593353 0 0
 33 13708 0 -3.677148597717148E-4 0.9997669360794688 0 0
 34 13720 0 -3.654419555992249E-4 0.9997970501413506 0 0
 35 13918 0 -4.665708974553625E-4 0.9996461238773618 0 0
 36 13928 0 -4.554654695018947E-4 0.9996448750818189 0 0
 37 14128 0 -5.616834503146185E-4 0.9997291584201962 0 0
 38 14141 0 -5.826852117116927E-4 0.9997891557607812 0 0
 39 14344 0 -6.133051565492365E-4 0.9997311805318342 0 0
 40 14360 0 -6.5054618871097E-4 0.9998068746888563 0 0
 41 14548 0 -5.794979654613944E-4 0.9997839178068982 0 0
 42 14565 0 -5.73528819339919E-4 0.9998603097735674 0 0
 43 14790 0 -6.778703020329247E-4 0.9999314517153847 0 0
 44 14830 0 -6.546271317813113E-4 1.0002348613740193 0 0
 45 15053 0 -6.919979822106693E-4 1.00049781386895 0 0
 46 15088 0 -5.872684432153806E-4 1.0006859947913613 0 0
 47 15315 0 -6.608388125207824E-4 1.0009469091893946 0 0
 48 15351 0 -6.726245403117767E-4 1.001110718850092 0 0
 49 15591 0 -7.598480760866797E-4 1.0012846274969516 0 0
 50 15634 0 -7.474498480606257E-4 1.0014992925835726 0 0
 51 15856 0 -7.797113329646049E-4 1.001723258296911 0 0
 52 15906 0 -7.64276032568736E-4 1.0019969845892385 0 0
 53 16282 0 -5.559790534963491E-4 1.0021569157923045 0 0
 54 16370 0 -4.423015591460731E-4 1.0024802179361714 0 0
 55 16749 0 -6.106104597231928E-4 1.0025961817362796 0 0
 56 16837 0 -5.590697099457699E-4 1.0027540335846066 0 0
 57 17333 0 -5.130212317802653E-4 1.0029681466186642 0 0
 58 17443 0 -4.5832497154633977E-4 1.0031237937416175 0 0
 59 17948 0 -1.9046200744686232E-4 1.003457040014453 0 0
 60 18058 0 -1.7079903378577343E-4 1.0036396385133908 0 0
 61 18539 0 -1.3454286060702282E-4 1.0038465974459116 0 0
 62 18658 0 -1.6943478125800332E-4 1.0040612489854854 0 0
 63 19097 0 -3.049636793715841E-4 1.0042432146429008 0 0
 64 19213 0 -3.658459191985369E-4 1.0043093097611642 0 0
 65 19656 0 -2.7403544076254804E-4 1.0042831058272093 0 0
 66 19774 0 -3.1040981082419743E-4 1.0043513093687353 0 0
 67 20268 0 -5.195865815363872E-4 1.0041012313668254 0 0
 68 20387 0 -4.128624948367075E-4 1.0042170337642018 0 0
 69 20856 0 -5.335364987550246E-4 1.0040714367296235 0 0
 70 20988 0 -5.405431749225187E-4 1.0041194969872038 0 0
 71 21469 0 -5.708676818730961E-4 1.004241922945767 0 0
 72 21587 0 -5.609580778758883E-4 1.004376728155541 0 0
 73 22072 0 -5.490791705649204E-4 1.0043257619271329 0 0
 74 22189 0 -6.238445899432734E-4 1.0045234645383623 0 0
 75 22639 0 -7.097844145692402E-4 1.0044180026668135 0 0
 76 22759 0 -7.095007307935906E-4 1.0044549032273231 0 0
 77 23163 0 -5.699042083495584E-4 1.0045648740892572 0 0
 78 23299 0 -5.350605853816637E-4 1.0045555371371042 0 0
 79 23688 0 -4.4941732347426373E-4 1.0044846869551034 0 0
 80 23802 0 -3.946228804332743E-4 1.0046194971538507 0 0
 81 24218 0 -3.403775630481408E-4 1.0046888598196309 0 0
 82 24342 0 -3.1363353851847033E-4 1.004783917232683 0 0
 83 24750 0 -3.4462107044557866E-4 1.004833241070677 0 0
 84 24874 0 -3.66459491926156E-4 1.0048499853396113 0 0
 85 25314 0 -2.6001810590225207E-4 1.005002691195857 0 0
