 "time" "normal population" "cancer population" "cancer proportion"patch_inflammation:0
 1 10392 0 0
 2 10392 0 0
 3 10589 3 2.8323262839879157E-4
 4 10596 3 2.830455703368242E-4
 5 10748 5 4.6498651539105364E-4
 6 10751 6 5.577763316909919E-4
 7 10892 12 0.0011005135730007337
 8 10897 13 0.0011915673693858844
 9 11024 15 0.0013588187335809403
 10 11038 17 0.0015377657168701945
 11 11144 20 0.0017914725904693658
 12 11157 20 0.0017893889236825623
 13 11240 22 0.0019534718522464926
 14 11251 23 0.002040092247649459
 15 11327 25 0.0022022551092318533
 16 11340 27 0.0023752969121140144
 17 11396 29 0.002538293216630197
 18 11421 30 0.0026198585276395073
 19 11460 31 0.0026977634670611785
 20 11477 31 0.002693778241223497
 21 11497 34 0.002948573410805654
 22 11517 34 0.002943468098000173
 23 11524 34 0.0029416854127011596
 24 11532 35 0.0030258493991527622
 25 11543 35 0.003022974607013301
 26 11552 36 0.0031066620642043494
 27 11554 36 0.0031061259706643657
 28 11569 37 0.003188006203687748
 29 11573 37 0.0031869078380706286
 30 11580 37 0.003184987518292158
 31 11581 37 0.0031847133757961785
 32 11587 37 0.0031830695113558155
 33 11581 37 0.0031847133757961785
 34 11593 37 0.003181427343078246
 35 11592 37 0.0031817009201135092
 36 11601 37 0.0031792404193160336
 37 11597 37 0.0031803335052432526
 38 11600 37 0.003179513620348887
 39 11598 37 0.003180060163300387
 40 11605 37 0.00317814808452156
 41 11601 37 0.0031792404193160336
 42 11607 39 0.0033487892838742917
 43 11599 39 0.003351091252792576
 44 11603 40 0.00343554066821266
 45 11600 41 0.00352203418950262
 46 11612 41 0.003518407277096027
 47 11605 41 0.003520522067662717
 48 11611 41 0.003518709234466186
 49 11608 41 0.003519615417632415
 50 11612 41 0.003518407277096027
 51 11602 41 0.0035214291849179763
 52 11612 41 0.003518407277096027
 53 11600 41 0.00352203418950262
 54 11614 41 0.003517803517803518
 55 11602 41 0.0035214291849179763
 56 11611 41 0.003518709234466186
 57 11602 41 0.0035214291849179763
 58 11610 41 0.0035190112436700714
 59 11605 41 0.003520522067662717
 60 11610 41 0.0035190112436700714
 61 11600 41 0.00352203418950262
 62 11605 41 0.003520522067662717
 63 11593 41 0.0035241533436479286
 64 11596 41 0.003523244822548767
 65 11582 41 0.00352748860018928
 66 11583 41 0.0035271851342050927
 67 11584 41 0.0035268817204301074
 68 11588 41 0.0035256685871528077
 69 11581 41 0.0035277921183961454
 70 11589 41 0.0035253654342218403
 71 11580 41 0.0035280956888391704
 72 11582 41 0.00352748860018928
 73 11575 41 0.0035296143250688706
 74 11583 41 0.0035271851342050927
 75 11575 41 0.0035296143250688706
 76 11579 41 0.0035283993115318418
 77 11567 41 0.0035320468642315644
 78 11575 41 0.0035296143250688706
 79 11561 41 0.0035338734700913637
 80 11568 41 0.003531742613489534
 81 11556 41 0.0035353970854531346
 82 11564 41 0.0035329599310641967
 83 11548 41 0.0035378376046250755
 84 11554 42 0.0036219385995170748
 85 11545 42 0.003624751877103651
 86 11548 42 0.00362381363244176
 87 11530 42 0.003629450397511234
 88 11535 42 0.003627882871210158
 89 11521 42 0.0036322753610654674
 90 11526 42 0.0036307053941908715
 91 11511 43 0.0037216548381512897
 92 11513 43 0.0037210107303565247
 93 11503 43 0.0037242335007794908
 94 11501 43 0.003724878724878725
 95 11488 43 0.0037290781371953864
 96 11491 43 0.003728108201838044
 97 11473 43 0.003733935394234109
 98 11476 43 0.0037329629308099663
 99 11463 43 0.0037371806014253432
 100 11466 43 0.0037362064471283345
 101 11452 43 0.0037407568508046976
 102 11456 43 0.0037394556048352032
 103 11445 43 0.003743036211699164
 104 11448 43 0.0037420590026977633
 105 11435 43 0.0037462972643317652
 106 11442 43 0.0037440139312146276
 107 11434 43 0.0037466236821469025
 108 11433 43 0.0037469501568490765
 109 11412 43 0.003753819292885203
 110 11417 43 0.0037521815008726
 111 11400 43 0.0037577558332605085
 112 11403 43 0.003756770924340381
 113 11384 43 0.003763017414894548
 114 11385 43 0.0037626881344067203
 115 11376 43 0.0037656537350030652
 116 11376 44 0.003852889667250438
 117 11354 44 0.003860326373047903
 118 11351 44 0.003861342694164107
 119 11333 44 0.0038674518765931267
 120 11332 44 0.003867791842475387
 121 11313 45 0.003961965134706815
 122 11310 45 0.003963011889035667
 123 11303 45 0.003965456468100106
 124 11301 45 0.003966155473294554
 125 11285 45 0.003971756398940865
 126 11282 45 0.0039728083340690385
 127 11269 45 0.00397737316598904
 128 11266 45 0.0039784280788612856
 129 11258 45 0.0039812439175440145
 130 11253 45 0.003983005841741901
 131 11238 45 0.003988300983780909
 132 11233 45 0.0039900691611987945
 133 11213 45 0.003997157576834251
 134 11206 45 0.003999644476046574
 135 11194 46 0.004092526690391459
 136 11193 46 0.004092890826585995
 137 11177 46 0.004098725830883008
 138 11175 46 0.004099456376437037
 139 11170 46 0.004101283880171184
 140 11169 46 0.004101649576460098
 141 11149 46 0.004108977221974096
 142 11142 46 0.0041115480872363245
 143 11124 46 0.004118173679498657
 144 11119 47 0.004209206519792227
 145 11100 47 0.004216381089082264
 146 11091 48 0.0043091839482897925
 147 11074 48 0.004315770544866032
 148 11069 48 0.004317711612845192
 149 11055 48 0.004323155903809781
 150 11048 48 0.004325883201153569
 151 11032 48 0.004332129963898917
 152 11031 48 0.004332520985648524
 153 11028 48 0.004333694474539545
 154 11021 49 0.004426377597109304
 155 11006 49 0.004432383536861149
 156 10999 49 0.00443519188993483
 157 10982 50 0.0045322697606961565
 158 10975 51 0.004625430799927444
 159 10963 51 0.004630470310513892
 160 10956 51 0.0046334150994821474
 161 10945 51 0.004638050200072754
 162 10930 52 0.004735020943361865
 163 10916 52 0.004741064916119621
 164 10915 52 0.004741497218929516
 165 10905 52 0.004745824587021995
 166 10894 52 0.004750593824228029
 167 10887 52 0.004753633787366304
 168 10884 52 0.004754937820043892
 169 10873 52 0.0047597254004576655
 170 10866 52 0.004762777065396593
 171 10853 52 0.004768454837230628
 172 10843 53 0.004864170337738619
 173 10834 53 0.004868191420960779
 174 10823 53 0.004873115115851416
 175 10809 53 0.004879396059657521
 176 10802 53 0.004882542607093505
 177 10791 53 0.0048874953891552934
 178 10785 53 0.004890201144122532
 179 10767 53 0.004898336414048059
 180 10762 53 0.0049006010171058715
 181 10750 53 0.004906044617235953
 182 10746 53 0.004907861839059172
 183 10732 53 0.004914232730644413
 184 10735 53 0.004912866147571375
 185 10721 53 0.004919250046408019
 186 10717 53 0.004921077065923863
 187 10709 53 0.004924735179334696
 188 10708 55 0.00511009941466134
 189 10691 55 0.005118183510143309
 190 10684 55 0.005121519694571189
 191 10670 55 0.005128205128205128
 192 10664 55 0.005131075660042914
 193 10651 55 0.005137306183448534
 194 10641 56 0.005235112648406095
 195 10628 56 0.005241482590789966
 196 10618 56 0.005246393104740491
 197 10607 56 0.005251805308074651
 198 10595 56 0.00525772227959816
 199 10573 56 0.00526860476056073
 200 10562 56 0.005274062912036165
 201 10547 56 0.005281524096953693
 202 10544 57 0.005376851240449014
 203 10536 57 0.0053809119229679975
 204 10531 57 0.005383452965621458
 205 10509 57 0.005394662123793299
 206 10501 57 0.0053987497632127296
 207 10488 57 0.005405405405405406
 208 10485 57 0.005406943653955606
 209 10472 57 0.00541361952702061
 210 10467 57 0.005416191562143672
 211 10456 57 0.00542185865119376
 212 10451 57 0.0054244385230300726
 213 10446 57 0.005427020851185376
 214 10443 57 0.0054285714285714284
 215 10430 57 0.005435300848669782
 216 10428 57 0.0054363376251788265
 217 10421 57 0.005439969459820577
 218 10415 57 0.0054430863254392664
 219 10401 58 0.005545463237403193
 220 10398 58 0.005547054322876817
 221 10390 58 0.005551301684532925
 222 10381 58 0.0055560877478685695
 223 10368 58 0.005563015538077882
 224 10357 58 0.00556889102256361
 225 10351 59 0.0056676272814601344
 226 10352 60 0.005762581636573185
 227 10346 61 0.005861439415777842
 228 10344 61 0.005862566074002883
 229 10330 61 0.0058704648253296125
 230 10326 62 0.005968425105891413
 231 10311 62 0.00597705581798901
 232 10309 63 0.006074045507134593
 233 10301 63 0.006078734079505982
 234 10295 63 0.00608225526163352
 235 10291 63 0.006084604983581225
 236 10290 63 0.006085192697768763
 237 10280 63 0.0060910760901092525
 238 10276 64 0.006189555125725338
 239 10268 64 0.006194347657762292
 240 10264 65 0.006292961564527059
 241 10257 65 0.006297229219143577
 242 10254 66 0.006395348837209302
 243 10243 68 0.0065948986519251285
 244 10238 69 0.006694479479965073
 245 10225 69 0.0067029337478142605
 246 10224 69 0.006703584960652871
 247 10222 69 0.006704887766009134
 248 10232 69 0.006698378798174935
 249 10226 69 0.006702282661486159
 250 10223 69 0.006704236300038865
 251 10216 70 0.006805366517596733
 252 10217 72 0.00699776460297405
 253 10206 72 0.0070052539404553416
 254 10205 73 0.007102549134072777
 255 10201 73 0.007105314385828305
 256 10195 74 0.007206154445418249
 257 10183 75 0.007311366738155586
 258 10188 75 0.007307804735457469
 259 10180 75 0.007313505607020965
 260 10177 75 0.007315645727662895
 261 10171 75 0.007319929728674604
 262 10168 75 0.007322073611246705
 263 10162 76 0.007423324868138308
 264 10163 76 0.0074225998632678975
 265 10152 76 0.007430582714118107
 266 10150 77 0.007529089664613279
 267 10145 77 0.007532772451575034
 268 10142 78 0.007632093933463796
 269 10136 79 0.0077337249143416545
 270 10143 79 0.007728428878888672
 271 10141 79 0.007729941291585127
 272 10137 80 0.007830087109719096
 273 10125 80 0.007839294463498285
 274 10118 81 0.00794195509363663
 275 10116 81 0.00794351279788173
 276 10119 81 0.007941176470588234
 277 10111 81 0.007947409733124019
 278 10113 81 0.007945850500294291
 279 10105 81 0.007952091105438838
 280 10103 83 0.008148439033968191
 281 10103 83 0.008148439033968191
 282 10099 84 0.008249042521850143
