 "time" "normal population" "cancer population" "cancer proportion"patch_inflammation:0.2
 1 10394 0 0
 2 10394 0 0
 3 10550 4 3.7900322152738296E-4
 4 10553 4 3.788955195604812E-4
 5 10744 8 7.44047619047619E-4
 6 10754 8 7.433562534844825E-4
 7 10913 11 0.0010069571585499817
 8 10924 11 0.001005944215820759
 9 11066 16 0.0014437827107020393
 10 11074 16 0.001442741208295762
 11 11229 20 0.0017779358165170237
 12 11242 21 0.0018645121193287756
 13 11401 24 0.002100656455142232
 14 11421 24 0.0020969855832241153
 15 11587 26 0.0022388702316369588
 16 11610 27 0.002320185614849188
 17 11756 28 0.0023761031907671417
 18 11783 29 0.0024551303758889266
 19 11908 29 0.002429421127586496
 20 11936 30 0.0025071034598027745
 21 12100 31 0.0025554364850383315
 22 12129 31 0.002549342105263158
 23 12280 35 0.0028420625253755584
 24 12329 36 0.0029114435907804286
 25 12470 38 0.003038055644387592
 26 12515 38 0.0030271648211582887
 27 12641 41 0.003232928560164012
 28 12676 43 0.0033807689283748723
 29 12784 47 0.003663003663003663
 30 12825 48 0.0037287345607084597
 31 12947 49 0.003770390889504463
 32 12981 50 0.0038370040672243114
 33 13113 54 0.004101161995898838
 34 13147 54 0.004090599197030528
 35 13252 57 0.004282816139454504
 36 13289 57 0.004270942604525701
 37 13393 59 0.0043859649122807015
 38 13429 60 0.0044480687967973906
 39 13547 61 0.004482657260435038
 40 13590 61 0.0044685371035089
 41 13692 63 0.004580152671755725
 42 13729 64 0.004640034800261002
 43 13820 68 0.004896313364055299
 44 13867 70 0.005022601707684581
 45 13964 74 0.0052714061832169826
 46 14004 75 0.005327082889409759
 47 14093 79 0.005574372001128987
 48 14121 81 0.005703422053231939
 49 14195 83 0.00581313909511136
 50 14241 83 0.005794470818207205
 51 14337 84 0.005824838776783857
 52 14372 87 0.006017013624732001
 53 14452 90 0.006188969880346582
 54 14494 92 0.006307418072123955
 55 14579 94 0.006406324541675185
 56 14622 96 0.006522625356706074
 57 14711 98 0.006617597406982241
 58 14751 99 0.006666666666666667
 59 14824 105 0.007033290910308795
 60 14856 105 0.007018247443352717
 61 14918 111 0.007385720939516934
 62 14955 111 0.007367582636399841
 63 15027 115 0.007594769515255581
 64 15058 116 0.007644655331488072
 65 15144 117 0.0076666011401611955
 66 15175 118 0.007715948473157654
 67 15253 120 0.007805893449554413
 68 15279 120 0.007792713812585233
 69 15359 121 0.007816537467700259
 70 15391 123 0.007928322805208199
 71 15473 127 0.00814102564102564
 72 15515 129 0.008245972896957299
 73 15589 131 0.008333333333333333
 74 15635 133 0.00843480466768138
 75 15696 137 0.00865281374344723
 76 15731 141 0.008883568548387098
 77 15805 143 0.008966641585151744
 78 15858 145 0.009060801099793788
 79 15928 146 0.009082991165857908
 80 15962 146 0.009063819220263223
 81 16029 151 0.009332509270704574
 82 16063 153 0.009435125801677356
 83 16135 160 0.00981896287204664
 84 16173 161 0.0098567405412024
 85 16255 163 0.009928127664758193
 86 16305 164 0.009958103102799199
 87 16374 166 0.010036275695284159
 88 16411 168 0.010133301164123289
 89 16501 172 0.010316079889641935
 90 16552 173 0.010343796711509716
 91 16639 174 0.010349134598227562
 92 16674 177 0.010503827666013887
 93 16742 182 0.010753958874970456
 94 16781 184 0.010845859121721192
 95 16850 187 0.010976110817632213
 96 16901 189 0.011059098888238736
 97 16972 192 0.01118620368212538
 98 17022 200 0.011613053071652538
 99 17088 205 0.011854507604232926
 100 17135 206 0.011879361051842454
 101 17193 211 0.012123649735692944
 102 17230 211 0.012097930164554785
 103 17299 214 0.012219494090104494
 104 17335 215 0.01225071225071225
 105 17396 219 0.012432585864320181
 106 17433 223 0.01263026733121885
 107 17487 227 0.01281472281810997
 108 17521 228 0.012845794129246718
 109 17592 229 0.01285000841703608
 110 17634 229 0.012819795107204837
 111 17699 232 0.012938486420166193
 112 17739 233 0.012964611618072558
 113 17814 236 0.013074792243767314
 114 17855 236 0.013045160577082528
 115 17923 238 0.013105005230989482
 116 17959 241 0.013241758241758241
 117 18016 241 0.013200416278687626
 118 18047 243 0.013285948605795517
 119 18115 246 0.01339796307390665
 120 18150 252 0.013694163677861103
 121 18209 253 0.01370382407106489
 122 18249 255 0.013780804150453956
 123 18312 259 0.01394647568790049
 124 18368 259 0.013904547162720781
 125 18430 262 0.014016691632784078
 126 18468 265 0.014146159184327123
 127 18521 268 0.014263664910319869
 128 18552 272 0.014449638759031025
 129 18611 274 0.01450886947312682
 130 18639 274 0.014487389626183048
 131 18695 276 0.014548521427441886
 132 18729 278 0.014626190350923343
 133 18782 279 0.014637217354808248
 134 18810 279 0.014615747289014616
 135 18858 280 0.014630577907827359
 136 18886 280 0.014609203798392988
 137 18934 283 0.014726544205651245
 138 18963 284 0.014755546318906843
 139 19015 287 0.014868925499948192
 140 19044 289 0.014948533595406818
 141 19097 294 0.015161672941055129
 142 19127 297 0.015290362438220758
 143 19185 299 0.015345924861424758
 144 19226 299 0.015313700384122919
 145 19274 299 0.01527614571092832
 146 19307 300 0.015300657928290917
 147 19340 300 0.015274949083503055
 148 19372 303 0.015400254129606099
 149 19419 307 0.015563216060022306
 150 19437 309 0.01564873898511091
 151 19477 312 0.015766334832482694
 152 19505 315 0.015893037336024218
 153 19541 316 0.015913783552399658
 154 19575 318 0.015985522545619062
 155 19617 322 0.016149255228446763
 156 19643 324 0.016226774177392697
 157 19679 325 0.016246750649870027
 158 19700 326 0.016278837511235395
 159 19730 328 0.016352577525176985
 160 19751 330 0.016433444549574225
 161 19784 334 0.016602047917288
 162 19806 337 0.016730377798739017
 163 19837 341 0.01689959361681039
 164 19863 343 0.016975155894288826
 165 19893 346 0.017095706309600278
 166 19927 348 0.01716399506781751
 167 19973 349 0.017173506544631435
 168 19997 352 0.01729814732910708
 169 20033 352 0.017267598724552368
 170 20060 358 0.017533548829464198
 171 20104 359 0.017543859649122806
 172 20124 361 0.017622650720039053
 173 20162 363 0.017685749086479904
 174 20185 365 0.017761557177615572
 175 20209 366 0.01778857837181045
 176 20227 367 0.017820724482859086
 177 20264 370 0.017931569254628285
 178 20288 372 0.018005808325266215
 179 20330 374 0.018064142194744975
 180 20351 376 0.018140589569160998
 181 20385 380 0.01830002407897905
 182 20411 382 0.018371567354398113
 183 20444 384 0.01843671980026887
 184 20471 387 0.01855403202608112
 185 20507 391 0.018709924394678917
