 "time" "normal population" "cancer population" "cancer proportion"patch_inflammation:0.4
 1 10396 0 0
 2 10396 0 0
 3 10570 2 1.8917896329928113E-4
 4 10575 2 1.8908953389429895E-4
 5 10736 5 4.6550600502746485E-4
 6 10743 5 4.652028284331969E-4
 7 10931 8 7.313282749794314E-4
 8 10948 10 9.125752874612155E-4
 9 11135 13 0.0011661284535342661
 10 11150 13 0.0011645614978052494
 11 11340 14 0.0012330456226880395
 12 11358 14 0.0012310939148786493
 13 11528 18 0.0015589814654425776
 14 11553 18 0.00155561317085818
 15 11775 28 0.0023722782343472
 16 11790 28 0.0023692672194956846
 17 11969 33 0.0027495417430428264
 18 11991 33 0.0027445109780439123
 19 12182 38 0.003109656301145663
 20 12207 38 0.0031033074724377296
 21 12375 41 0.0033021907216494845
 22 12389 41 0.0032984714400643603
 23 12590 44 0.003482665822384043
 24 12614 45 0.003554783158227348
 25 12793 50 0.0038931713774040333
 26 12814 50 0.00388681592039801
 27 12965 54 0.004147784007988325
 28 12986 54 0.004141104294478528
 29 13160 55 0.004161937192584185
 30 13188 59 0.004453838604967162
 31 13361 62 0.004618937644341801
 32 13374 65 0.004836669395044274
 33 13550 72 0.0052855674643958305
 34 13568 74 0.005424424571177247
 35 13766 76 0.0054905360497038
 36 13781 78 0.0056281116963705895
 37 13966 81 0.0057663558055100735
 38 13986 83 0.005899495344374156
 39 14181 87 0.006097560975609756
 40 14207 95 0.006642427632498951
 41 14387 100 0.00690274038793401
 42 14410 106 0.007302287131441168
 43 14591 109 0.007414965986394558
 44 14604 113 0.00767819528436502
 45 14785 116 0.0077847124354070195
 46 14812 120 0.008036431824270024
 47 14992 125 0.008268836409340478
 48 15014 131 0.008649719379333114
 49 15191 134 0.008743882544861338
 50 15215 139 0.009053015500846685
 51 15377 142 0.009150074102712803
 52 15405 143 0.00919732441471572
 53 15769 152 0.009547138998806607
 54 15811 153 0.00958406414432473
 55 16173 160 0.00979611828812833
 56 16231 165 0.010063430104903634
 57 16656 174 0.01033868092691622
 58 16724 178 0.010531298071234173
 59 17176 194 0.011168681635002878
 60 17238 198 0.011355815554026153
 61 17721 204 0.011380753138075314
 62 17782 209 0.011616919570896559
 63 18189 218 0.011843320475905906
 64 18256 222 0.012014287260526032
 65 18713 230 0.012141688222562425
 66 18779 235 0.012359314189544546
 67 19152 250 0.012885269559839192
 68 19215 252 0.012944983818770227
 69 19617 262 0.013179737411338599
 70 19677 264 0.01323905521287799
 71 20079 274 0.013462388837026483
 72 20151 281 0.01375293657008614
 73 20540 293 0.014064225027600442
 74 20618 300 0.01434171526914619
 75 21002 310 0.014545795795795796
 76 21068 317 0.014823474397942482
 77 21421 327 0.015035865366930292
 78 21493 333 0.015257032896545404
 79 21898 349 0.015687508428102667
 80 21970 359 0.016077746428411484
 81 22319 370 0.016307461765613294
 82 22369 378 0.01661757594408054
 83 22713 387 0.016753246753246753
 84 22769 391 0.016882556131260794
 85 23107 407 0.017308837288423917
 86 23175 410 0.017383930464278143
 87 23529 423 0.017660320641282565
 88 23574 430 0.01791368105315781
 89 23877 441 0.018134715025906734
 90 23963 446 0.018271948871317955
 91 24284 458 0.018511033869533587
 92 24332 459 0.018514783590819248
 93 24584 464 0.018524433088470137
 94 24639 472 0.018796543347536936
 95 24922 479 0.018857525294279753
 96 24985 488 0.01915753935539591
 97 25260 501 0.019448002794922557
 98 25318 509 0.019708057459248075
 99 25614 523 0.020009947583884913
 100 25668 531 0.02026794915836482
 101 25887 536 0.02028535745373349
 102 25938 543 0.02050526792794834
 103 26140 550 0.020606968902210566
 104 26182 555 0.020757751430601788
 105 26355 563 0.020915372613121333
 106 26399 568 0.021062780435346904
 107 26568 575 0.02118409903105773
 108 26618 580 0.021325097433634827
 109 26762 582 0.02128437682855471
 110 26802 584 0.02132476447820054
 111 26995 587 0.021281995504314408
 112 27035 592 0.021428312882325263
 113 27196 601 0.021621038241536855
 114 27238 604 0.02169384383305797
 115 27346 611 0.021854991594234003
 116 27373 617 0.022043586995355482
 117 27493 624 0.02219297933634456
 118 27528 626 0.022234851175676636
 119 27630 633 0.022396773166330538
 120 27670 638 0.022537798502190193
 121 27770 644 0.022664883508129795
 122 27812 652 0.02290612703766161
 123 27925 654 0.02288393575702439
 124 27964 660 0.02305757406372275
 125 28065 665 0.023146536721197354
 126 28094 669 0.023259048082606124
 127 28185 676 0.02342261182911195
 128 28213 683 0.023636489479512735
 129 28296 689 0.02377091599102984
 130 28328 693 0.023879259846318182
 131 28412 697 0.023944484523686832
 132 28443 699 0.023985999588223183
 133 28515 706 0.024160706341329864
 134 28551 711 0.024297724010662294
 135 28649 717 0.02441599128243547
 136 28672 722 0.02456283595291556
 137 28727 727 0.024682555849799687
 138 28753 732 0.024826182804816008
 139 28823 736 0.024899353834703476
 140 28849 744 0.02514108066096712
 141 28927 754 0.025403456756847815
 142 28953 757 0.02547963648603164
 143 29037 762 0.02557132789690929
 144 29056 767 0.02571840525768702
 145 29129 776 0.0259488379869587
 146 29155 784 0.02618657937806874
 147 29216 794 0.026457847384205264
 148 29237 795 0.02647176345231753
 149 29306 804 0.02670209232813019
 150 29325 813 0.026975910810272747
 151 29374 818 0.027093269740328565
 152 29401 824 0.027262200165425972
 153 29479 829 0.027352514187673222
 154 29502 836 0.02755620014503263
 155 29543 840 0.027647039462857518
 156 29559 850 0.027952250978328784
 157 29614 855 0.028061308214906953
 158 29631 861 0.028236914600550965
 159 29682 866 0.028348828073850987
 160 29703 869 0.0284247023420123
 161 29757 874 0.02853318533511802
 162 29778 878 0.028640396659707724
 163 29837 882 0.028711872131254274
 164 29867 888 0.028873353926190864
 165 29917 891 0.028921059465074006
 166 29929 897 0.029098812690585868
 167 29986 899 0.02910798122065728
 168 30006 903 0.0292147918082112
 169 30071 913 0.029466821585334365
 170 30087 918 0.029608127721335267
 171 30134 924 0.029750788846673964
 172 30144 929 0.02989733852540791
 173 30192 938 0.03013170575008031
 174 30212 944 0.030299139812556167
 175 30253 948 0.03038364154995032
 176 30268 955 0.030586426672645165
 177 30307 963 0.030796290374160536
 178 30324 969 0.030965391621129327
 179 30360 976 0.031146285422517232
 180 30380 980 0.03125
 181 30412 989 0.031495812235279134
 182 30428 995 0.031664704197562295
 183 30483 999 0.03173241852487135
 184 30500 1001 0.03177676899146059
 185 30539 1007 0.031921638242566414
 186 30554 1010 0.03199847928019262
 187 30588 1019 0.032239693738728765
 188 30603 1023 0.03234680326313792
 189 30643 1030 0.03251981182710826
 190 30652 1032 0.0325716449943189
 191 30691 1036 0.03265357581870331
 192 30704 1040 0.03276209677419355
 193 30736 1044 0.032850849590937696
 194 30747 1046 0.03290032397068537
 195 30789 1053 0.03306953080836631
 196 30806 1056 0.03314292888079844
 197 30849 1062 0.03328006016734041
 198 30861 1066 0.03338866789864378
 199 30895 1073 0.03356481481481482
 200 30903 1076 0.03364708089683855
 201 30947 1082 0.0337818851665678
 202 30953 1088 0.03395649324303236
 203 30990 1093 0.034067886419599167
 204 31001 1098 0.03420667310508115
 205 31041 1100 0.034224199620422516
 206 31053 1103 0.03430153004104988
 207 31099 1106 0.034342493401645705
 208 31113 1110 0.0344474443720324
 209 31136 1116 0.034602505270990944
 210 31143 1124 0.03483435088480491
 211 31167 1131 0.03501764815158833
 212 31179 1136 0.03515395327247409
 213 31201 1140 0.035249373859806435
 214 31214 1146 0.03541409147095179
 215 31252 1151 0.03552140233928957
 216 31263 1154 0.03559860566986458
 217 31294 1164 0.03586172900363547
 218 31299 1172 0.03609374518801392
 219 31326 1177 0.036212041965357045
 220 31330 1182 0.03635580708661417
 221 31356 1187 0.036474817933196076
 222 31362 1193 0.03664567654738136
 223 31382 1195 0.03668232188353746
 224 31396 1199 0.036784782942169046
 225 31418 1202 0.03684855916615573
 226 31427 1203 0.036867912963530494
 227 31462 1209 0.037005295215940745
 228 31473 1213 0.0371106895918742
 229 31500 1217 0.037197787083167774
 230 31508 1222 0.037335777574091046
 231 31534 1226 0.03742368742368742
 232 31538 1231 0.037565992248771704
 233 31567 1236 0.03767948053531689
 234 31577 1241 0.037814613931379124
 235 31610 1244 0.037864491386132584
 236 31621 1246 0.0379103660206286
 237 31652 1252 0.038050085096036954
 238 31654 1260 0.038281582305401955
 239 31680 1267 0.038455701581327585
 240 31685 1271 0.03856657361330258
 241 31709 1277 0.03871339356090463
 242 31716 1285 0.038938213993515346
 243 31738 1291 0.03908686305973538
 244 31739 1295 0.039202034267724166
 245 31758 1299 0.03929576186586805
 246 31764 1300 0.0393176869102347
 247 31790 1303 0.03937388571601245
 248 31797 1310 0.03956867127797747
 249 31827 1316 0.03970672540204568
 250 31834 1323 0.039901076695720364
 251 31848 1329 0.04005787141694547
 252 31852 1338 0.04031334739379331
 253 31880 1344 0.04045268480616422
 254 31887 1351 0.04064624827005235
 255 31909 1357 0.04079240064931161
 256 31911 1362 0.04093409070417456
 257 31931 1370 0.04113990570853728
 258 31935 1373 0.041221328209439176
 259 31957 1377 0.04130917381652367
 260 31957 1384 0.04151045259590294
 261 31976 1388 0.041601726411701234
 262 31982 1396 0.04182395589909521
 263 31991 1404 0.04204222188950442
 264 31991 1409 0.04218562874251497
 265 32020 1414 0.04229227732248609
 266 32033 1418 0.042390362022062124
 267 32050 1426 0.04259768192137651
 268 32048 1433 0.042800394253457184
 269 32065 1443 0.04306434284350006
 270 32068 1449 0.04323179282155324
 271 32085 1453 0.04332399069711969
 272 32086 1459 0.043493814279326276
 273 32100 1468 0.04373212583412774
 274 32097 1474 0.04390694349289565
 275 32115 1479 0.04402571887837114
 276 32117 1488 0.04427912513018896
 277 32127 1491 0.04435124040692486
 278 32132 1498 0.04454356229556943
 279 32146 1501 0.044610217850031206
 280 32147 1504 0.044694065555258386
 281 32163 1510 0.04484304932735426
 282 32157 1515 0.04499287241625089
 283 32172 1517 0.045029534863011665
 284 32175 1519 0.0450822104825785
 285 32182 1521 0.045129513693143046
 286 32176 1528 0.045335865179207215
 287 32185 1534 0.04549363860138201
 288 32191 1541 0.04568362385865054
 289 32199 1549 0.04589901623799929
 290 32198 1551 0.04595691724199236
 291 32216 1555 0.046045423588285804
 292 32215 1560 0.0461880088823094
 293 32233 1561 0.046191631650588864
 294 32232 1565 0.04630588513773412
 295 32244 1570 0.04643047258531969
 296 32240 1575 0.046576962886293066
 297 32244 1579 0.04668420897022736
 298 32235 1584 0.04683757651024572
 299 32240 1587 0.046915186093948624
 300 32235 1590 0.04700665188470066
 301 32239 1595 0.04714192823786723
 302 32238 1607 0.04748116413059536
 303 32252 1611 0.04757404837137879
 304 32238 1620 0.04784688995215311
 305 32240 1624 0.04795653201039452
 306 32237 1627 0.04804512166312308
 307 32246 1633 0.048200950441276307
 308 32244 1639 0.04837234011156037
 309 32247 1643 0.048480377692534674
 310 32241 1644 0.048517042939353695
 311 32241 1648 0.048629348756233585
 312 32230 1650 0.048701298701298704
 313 32237 1656 0.04885964653468268
 314 32224 1662 0.049046803989848314
 315 32230 1667 0.049178393368144675
 316 32207 1672 0.049352106024380886
 317 32219 1675 0.04941877618457544
 318 32208 1681 0.049603116055357194
 319 32211 1695 0.04999115200849407
 320 32196 1702 0.050209451885066966
 321 32196 1708 0.050377536573855596
 322 32187 1715 0.05058698601852398
 323 32189 1721 0.050751990563255675
 324 32171 1730 0.051030943040028316
 325 32178 1735 0.051160322000412824
 326 32158 1742 0.05138643067846608
 327 32156 1751 0.051641254018344296
 328 32143 1759 0.05188484455194384
 329 32145 1764 0.0520215871892418
 330 32132 1770 0.0522093091852988
 331 32130 1774 0.05232420953279849
 332 32110 1781 0.05255082470272344
 333 32111 1784 0.05263313173034371
 334 32096 1789 0.05279622251733806
 335 32100 1793 0.0529017791284336
 336 32086 1798 0.05306339275174123
 337 32078 1804 0.05324361017649489
 338 32065 1808 0.053375845068343516
 339 32061 1812 0.053493933221149585
 340 32047 1817 0.05365579966926529
 341 32043 1826 0.05391360831438779
 342 32024 1833 0.05413946894290693
 343 32017 1842 0.05440207921084497
 344 31995 1853 0.05474474119593477
 345 31995 1858 0.05488435293770124
 346 31974 1861 0.05500221663957441
 347 31967 1869 0.05523702565315049
 348 31949 1875 0.055434011352885525
 349 31946 1878 0.05552270577105014
 350 31927 1886 0.055777363735841246
 351 31918 1894 0.056015615757719156
 352 31893 1901 0.056252589217020775
 353 31889 1907 0.056426796070540894
 354 31862 1916 0.05672331103084848
 355 31854 1923 0.05693223199218403
 356 31828 1927 0.05708783883869056
 357 31829 1937 0.05736539714505716
 358 31810 1944 0.05759317414232387
 359 31795 1951 0.05781425946778877
 360 31772 1959 0.058077139723103376
 361 31768 1964 0.05822364520336772
 362 31744 1967 0.05834890688499303
 363 31738 1970 0.05844309956093509
 364 31719 1978 0.05869958750037095
 365 31712 1984 0.05887939221272555
 366 31678 1997 0.05930215293244247
 367 31665 2000 0.059408881627803355
 368 31646 2008 0.059666012955369344
 369 31630 2019 0.06000178311391126
 370 31608 2025 0.060208723575060207
 371 31606 2032 0.06040787204946786
 372 31581 2039 0.06064842355740631
 373 31574 2041 0.06071694184143983
 374 31550 2045 0.06087215359428486
 375 31534 2052 0.061096885607098195
 376 31511 2059 0.06133452487339887
 377 31506 2063 0.06145550954749918
 378 31484 2068 0.06163567000476872
 379 31476 2077 0.06190206538908592
 380 31467 2087 0.06219824760088216
 381 31458 2097 0.062494412159141706
 382 31441 2105 0.06274965718714601
 383 31436 2115 0.06303835951238414
 384 31408 2119 0.0632027917797596
 385 31405 2133 0.06359949907567536
 386 31367 2144 0.06397899197278506
 387 31350 2150 0.06417910447761194
 388 31332 2161 0.06452094467500671
 389 31312 2166 0.06469920544835414
 390 31281 2177 0.0650666507262837
 391 31274 2185 0.0653038046564452
 392 31251 2187 0.06540462946348466
 393 31235 2194 0.06563163720123247
 394 31203 2202 0.06591827570722945
 395 31190 2204 0.06599988021800324
 396 31162 2214 0.06633509108341323
 397 31143 2227 0.0667365897512736
 398 31117 2231 0.06690056375194914
 399 31103 2234 0.0670126286108528
 400 31078 2237 0.06714693081194657
 401 31062 2247 0.0674592452490318
 402 31036 2254 0.06770802042655452
 403 31020 2263 0.06799266893008443
 404 30996 2266 0.06812578918886417
 405 30979 2269 0.06824470644850818
 406 30951 2276 0.06849851024769013
 407 30930 2281 0.06868206317184065
 408 30895 2285 0.0688667872212176
 409 30865 2290 0.0690695219423918
 410 30840 2301 0.06943061464651036
 411 30822 2314 0.06983341380975375
 412 30783 2322 0.07014046216583597
 413 30775 2332 0.07043827589331561
 414 30760 2341 0.07072293888402163
 415 30748 2352 0.07105740181268883
 416 30710 2358 0.0713076085641708
 417 30693 2364 0.07151284145566748
 418 30664 2376 0.07191283292978208
 419 30643 2382 0.07212717638152914
 420 30615 2397 0.07260996001454016
 421 30594 2407 0.0729371837217054
 422 30562 2419 0.07334525939177101
 423 30553 2422 0.07344958301743745
 424 30520 2430 0.07374810318664643
 425 30500 2440 0.07407407407407407
 426 30470 2450 0.0744228432563791
 427 30463 2460 0.074719800747198
 428 30429 2468 0.07502203848375232
 429 30415 2478 0.07533517769738242
 430 30380 2489 0.07572484712038699
 431 30360 2499 0.07605222313521409
 432 30316 2506 0.07635122783498872
 433 30304 2515 0.07663243852646333
 434 30257 2524 0.0769958207498246
 435 30241 2532 0.0772587190675251
 436 30216 2538 0.07748671917933687
 437 30196 2545 0.0777312849332641
 438 30159 2552 0.07801656934976002
 439 30142 2562 0.0783390410958904
 440 30104 2573 0.07874039844538973
 441 30084 2582 0.07904242943733546
 442 30052 2592 0.07940203406445288
 443 30035 2603 0.07975366137630982
 444 29997 2618 0.08026981450252951
 445 29977 2626 0.08054473514707236
 446 29930 2640 0.08105618667485416
 447 29909 2650 0.08139070610276729
 448 29883 2656 0.08162512677095178
 449 29851 2665 0.08195965063353426
 450 29826 2674 0.08227692307692308
 451 29806 2680 0.08249707566336267
 452 29780 2690 0.08284570372651678
 453 29763 2708 0.08339749314773182
 454 29732 2717 0.08373139387962648
 455 29709 2723 0.0839602861371485
 456 29680 2735 0.08437451797007559
 457 29675 2746 0.08469818944511273
 458 29650 2753 0.08496126901830077
 459 29624 2771 0.08553789164994598
 460 29592 2780 0.08587668355368837
 461 29562 2786 0.08612588104365031
 462 29524 2796 0.086509900990099
 463 29508 2811 0.08697670101178873
 464 29472 2821 0.08735639302635247
